Health.District,xname,yname
Bobirwa,28.37863593254115,-22.05536731853282
Boteti,25.014166832390973,-21.312670997999405
Mahalapye,26.69957095436015,-23.222979632217292
Serowe,26.14977706190711,-22.206565411132477
Tutume,25.929242640994293,-20.202455483538433
Gantsi,22.989090971425394,-22.226788691112333
Kgalagadi North,21.686906923438777,-24.02185924262957
Kgalagadi South,21.807395503136014,-25.521132528509554
Kgatleng,26.352778847863313,-24.155288252527498
Kweneng East,25.729396073697675,-24.11068199686943
Kweneng West,24.48316082154454,-23.813719690567904
North East,27.57977393931527,-20.952637003172082
Chobe,24.80387355046659,-18.51352491621778
Ngamiland,23.21483706813598,-20.030673235568166
Okavango,22.132152602656443,-19.017038739268937
Southeast/Tlokweng,25.755798980222202,-24.9339345625497
Kanye (Southern),24.92916741005033,-25.09204517419021
Jwaneng,24.548516312347804,-24.72869829401941
Goodhope,24.968214093682793,-25.52458880000455
Francistown,27.254352638689248,-21.46392463220656
Selibe Phikwe,27.838573973198688,-21.96688412734095
Palapye,27.477437649508605,-22.494961728828976
Charleshill,20.632776822262883,-22.658063957908507
Gaborone,25.911788626067718,-24.645623191996997
Lobatse,25.629956799752396,-25.26369728109075
Mabutsane,23.61032333774766,-24.497924884744908
Moshupa,25.271620572321915,-24.804587278439705
